原文,訳文
Targor Bloodsword,“血刀”タルゴル
Amlaruil Moonflower,“月花”のアムラルイル
Moonstone Mask,“月長石の仮面”亭
Sehanine Moonbow,“月虹の”セイハニーン
Honest Trade,“堅気の仕事”
Camnod the Unseen,“見えざる者”カムノド
Belchorzh the Unseen,“見えざる者”ベルコージ
Alaundo the Seer,“見者”アローンド
Rill Cleverthrush,“賢きツグミの”リル
Iuz the Old,“古きもの”アイウーズ
The Old Empires,“古き諸帝国”
Amphail the Just,“公正なる”アンファイル
Hyrsam the Savage,“荒ぶる”ヒルサム
Algarr Grimtide,“荒潮の”アルガー
Baervan Wildwanderer,“荒野を彷徨う者”ベイアヴァン
Steelsmith,“鋼の鍛冶屋”
Flandal Steelskin,“鋼鉄の皮膚”フランダル
noble genie,“高貴なる”ジンニー
Bloomridge,“高嶺の花”地区
Black Morwen,“黒の”モーウェン
Black Spider,“黒蜘蛛”
"Kassh ""Blackaxe"" Droranath",“黒斧”カッシュ・ドロラナス
Bone Throne,“骨の玉座”
Castle of Bone,“骨の城”
Kezef the Chaos Hound,“混沌なる猟犬”ケゼフ
Chaotic evil,“混沌にして悪”
Chaotic good,“混沌にして善”
Chaotic neutral,“混沌にして中立”
Emirikol the Chaotic,“混沌の”エミリコル
"Syrania, the Azure Sky",“紺碧の空”シラニア
soul siblings,“魂の兄弟姉妹”
Soul Forger,“魂の鍛冶師”
Empires of the Sands,“砂の諸帝国”
Chained God,“鎖に縛られた神”
high mage,“最高魔道士”
First Reflection,“最初の返照”
City of Judgment,“裁きの都”
Heartbreaker,“罪作りな男”号
the Realm of Three Crowns,“三王冠国”
Three Old Kegs,“三樽の古酒”亭
Three Daggers Alley,“三本の短剣”通り
Stabbed Sailor Alley,“刺された船乗り”通り
Atropus the World Born Dead,“死して生まれし世界”アトロパス
Dead Three,“死せる三者”
Cultists of the Dead Three,“死せる三者”のカルト教団員
Dungeon of the Dead Three,“死せる三者”のダンジョン
More Dead Three Encounters,“死せる三者”関連のさらなる遭遇
doomwarden,“死の番人”
"Dolurrh, the Realm of the Dead",“死の領域”ドルラー
Deadwinter Day,“死冬日”
Necromancer,“死霊術士”
Y'chak the Violet Flame,“紫の火焔”イチャク
Seven Suns Trading Coster,“七つの太陽”交易コスター
Lords' Hand,“執政機構の手”
Lords' Champion,“執政機構の勇士”
"Sseth, the Sibilant Death",“蛇の声もつ死”スセス
Fiery Pit,“灼熱の大穴”
Ziraj the Hunter,“狩人”ジロージ
Halls of the Hunting Axe,“狩斧の館”
"Father Llymic, the Alien Thought Given Flesh",“受肉せし異界の思考”父なるリミック
"Kyrilla, Accursed Gorgon",“呪われしゴルゴン”キュリラ
Kyrilla the Accursed,“呪われし者”キュリラ
Forge of Spells,“呪文の鍛冶場”
Nelar Autumnwell,“秋の泉”ネラール
the Lands of Fate,“宿命の地”
the Most Careful Order of Skilled Smiths and Metalforgers,“熟練鍛冶師と金属鍛造師による最も入念なる職人団”
Meira the Huntress,“女狩人”メイラ
Smiling Company,“女神の微笑み団”
Trader's Way,“商人の道”
City of Skilled Hands,“職人の都”
Opallita the Devout,“信心深き”オパリタ
Deep Sashelas,“深き”サシェラス
Deep Duerra,“深き”ドゥエラ
Berronar Truesilver,“真なる銀”ベアオナー
Neutral,“真なる中立”
godslayer,“神殺し”
Sovereign Lord of World and Wealth,“世界と富を統べる至高の神”
Shothotugg the Eater of Worlds,“世界を喰らう者”ショソタッグ
King Snurre the Fearsome,“凄まじき”スナール王
Stag King,“星の王”
Bolothamogg: Him Who Watches from Beyond the Stars,“星の彼方より見張るもの”ボロサモッグ
Blade and Stars,“星やいば”亭
High House of Stars,“星々の大館”
voices,“声”
Year of Silent Shadows,“静かなる影の年”
Gruumsh One-Eye,“隻眼の”グルームシュ
Skoraeus Stonebones,“石の骨の”スコレイアス
"Sheshka, the Queen of Stone",“石の女王”シェシュカ
Stone Bridge,“石橋”
Scarlet Marpenoth,“赤いマーペノス”号
cult of the Red Fang,“赤い牙”の教団
Kistarianth the Red,“赤の”キスタリアンス
Red Ruth,“赤の”ルース
Red House,“赤の館”
"Forell ""Flamebeard"" Luekuan",“赤ひげ”フォレル・ルークアン
burl,“節”￥￥ルビ：バール￥
Renwick “Snowcloak,“雪マント”レンウィック
"Liddie ""Slurtongue"" Peddlekant",“舌足らずの”リディ・ペドルカント
"Shavarath, the Battleground",“戦いの場”シャヴァラス
war-hearth,“戦の広間”
Warrior's Way,“戦士の道”
Chiktikka Fastpaws,“前足速き”チクティッカ
Twin Songs,“双つ歌”地区
City of Splendor,“壮麗な都”
Weed,“草”
Gutbuster,“臓物破り”隊
Fast Pace,“速い”ペース
Archdruid Oalian,“大ドルイド”オアリアン
Ichthyglug the Voluminous,“大渦巻く”イクチグルグ
High Palace,“大宮殿”
Great Rain,“大豪雨”
Great Conflagration,“大焼尽”
Maram of the Great Spear,“大槍の”マラム
the great Retreat,“大退却”
Segojan Earthcaller,“大地に命を吹き込む者”セゴージャン
Earthmother,“大地の母”
grand proclamation,“大布告”
Sundering,“大分割”
Maze,“大迷宮”
Bath,“大浴場”
"Lekard ""Dead-Eye"" Cadavrus",“濁り目の”リカード・カダヴラス
The Parted Veil,“脱がされしベール”
Bosco Daggerhand,“短剣いじりの”ボスコ
Forgemaster,“鍛冶の司”
Rault the Wise,“知恵深き”ロールト
Holashner the Hunger Below,“地の底にて飢える者”ホラシュナー
Deepkingdom,“地下王国”
Kethelrax the Cunning,“智将”ケゼルラックス
"Shunn ""Spider Eyes"" Shurreth",“蜘蛛の目の”シャン・シャレス
Slow Pace,“遅い”ペース
Lawful evil,“秩序にして悪”
Lawful good,“秩序にして善”
Lawful neutral,“秩序にして中立”
Neutral evil,“中立にして悪”
Neutral good,“中立にして善”
Auntie Wormtooth,“虫の歯おばさん”
Spouting Fish,“潮吹き魚”亭
Transcendence,“超越”
Remembrance,“追憶”
Belak the Outcast,“追放されし者”ベラック
hammer,“鎚”
Rex the Hammer,“鎚の”レックス
Normal Pace,“通常”ペース
Ivy Mansion,“蔦屋敷”
Gaerdal Ironhand,“鉄の手”ガエルダル
Iron City of Dis,“鉄の都”ディス
Khandan the Hammer,“鉄槌”のカンダン
Iron Belly,“鉄腹の”
Rising City,“天を衝￥￥ルビ：つ￥く都”
Warrens,“兎穴”
Winter Palace,“冬の宮殿￥￥ルビ：ウィンター・パレス￥”
High Festival of Winter,“冬の大祭”
the East,“東方”
Kliyuse the Skull Cleaver,“頭蓋骨割り”クリユーズ
Hyrsam the Fool,“道化の”ヒルサム
Copper Tooth tribe,“銅の歯”族
Peggy Pigknuckle,“豚こぶしの”ペギー
Abyssal Forests of Khar,“奈落の森”カー
Inner Sea,“内海”
Mordain the Fleshweaver,“肉編み師”モーデイン
Jaruk the Prismatic,“虹色に煌めく”ジャルーク
Flaming Fist,“燃える拳”団
Tyranthraxus the Flamed One,“燃え上がる者”ティランスラクサス
Yargoth the Breaker,“破壊屋”ヤーゴス
Vaprak the Destroyer,“破壊者”ヴァプラク
Yek the Tall,“背高”イェク
thin place,“薄くなった場所”
dim,“薄暗い”
"Sibonseni, Mother of Prosperity",“繁栄の母”シボンセニ
spawn of the Mourning,“悲嘆の落し子”
keeper of secrets,“秘密の保管者”
Sea Maidens Faire,“美しき人魚”団
Virtue Names,“美徳”に基づく名前
longbeard,“髭長き者”
"Risia, the Plain of Ice",“氷の平原”リシア
Nadia the Unbent,“不屈の”ナディア
Wall of the Faithless,“不信心者の壁”
Brughor Axe Biter,“斧噛み”ブラゴア
Rotting Bal,“腐れの”バル
Dyrrn the Corrputor,“腐敗の王”ディルン
"Kythri, the Churning Chaos",“沸き立つ混沌”キスーリ
Borem of the Lake of Boiling Mud,“沸き立つ泥の湖”ボレム
ear of the Tomb,“墓の年”
Fugue Plane,“忘却の次元界”
Tyrant,“暴君”
Venturer's Rest,“冒険者の憩い”亭
Smiler the Defiler,“冒涜者”スマイル
North,“北方”
the North,“北方”
Dwarfholds of the North,“北方”のドワーフ族の拠点
Ruined Kingdoms of the North,“北方”の滅びた諸王国
Mercenaries of the North,“北方”の傭兵団
Crown of the North,“北方の宝冠”
Gem of the North,“北方の宝石”
Drawing of the Veil,“幕引き”
Lord of the End of Everything,“万物の終焉の王”
Sleeping Giant,“眠れる巨人”亭
"Dal Quor, the Region of Dreams",“夢の領域”ダル・クォール
"Pernilla ""Prole"" Cabrenock",“無産者”パーニラ・ケーブルノック
Arkhan the Cruel,“無慈悲なる”アルカーン
Mother-of-Mists,“霧の母”
bright,“明るい”
Pandorym the Utter Annihilation,“滅殺の”パンドリム
Revelation,“黙示”
"Dendar, the Night Serpent",“夜の蛇”デンダー
Twelve Hours of Night ,“夜の十二時間”
Watchful Protector,“油断なき守り手”
Faerie Court of Thelanis,“妖精の宮廷”セラニス
"Thelanis, the Faerie Court",“妖精の宮廷”セラニス
Merry Mine-Lass,“陽気な鉱山娘”亭
Storm Maiden,“嵐の乙女”
Hellraiser,“嵐を呼ぶ男”号
Rary the Traitor,“裏切り者”レアリー
Standing Stone,“立石”
Shemeshka the Marauder,“略奪者”シェムシュカ
Haemnathuun the Blood Lord,“流血公”ヘイムナスーン
Durastoran the Wyrmbreaker,“竜の仇敵”デュラストラン
The Queen of Dragons,“竜の女王”
dragonspike,“竜返し”
Proud People,“傲慢な民”
Muiral the Misshapen,“畸形の”ムイラル
Deception,ペテン
Intimidation,威圧
Medicine,医術
Stealth,隠密
Athletics,運動
Insight,看破
Acrobatics,軽業
Performance,芸能
Nature,自然
Sleight of Hand,手先の早業
Religion,宗教
Survival,生存
Persuasion,説得
Investigation,捜査
Perception,知覚
Animal Handling,動物使い
Arcana,魔法学
History,歴史
Crossbow Expert,クロスボウの達人
Svirfneblin Magic,スヴァーフネブリン魔法
Resilient,セーヴ習熟
Dungeon Delver,ダンジョン探険家
Athlete,運動選手
Skulker,影に潜む者
Keen Mind,鋭敏なる頭脳
Observant,観察眼
Mobile,機動力
Mounted Combatant,騎乗戦闘者
Ritual Caster,儀式発動者
Skilled,技術習熟
Savage Attacker,凶暴な戦士
Lucky,強運
Alert,警戒
Lightly Armored,軽装防具習熟
Inspiring Leader,激励する指揮官
Elemental Adept,元素の達人
Linguist,語学の才
Sharpshooter,射撃の名手
Defensive Duelist,守りの決闘術
Sentinel,守護戦士
Tavern Brawler,酒場流喧嘩殺法
Spell Sniper,呪文狙撃手
Heavy Armor Master,重装鎧の達人
Heavily Armored,重装防具習熟
Shield Master,盾の使い手
Martial Adept,戦技のたしなみ
War Caster,戦場の術者
Grappler,組み技の達人
Durable,壮健
Great Weapon Master,大業物の使い手
Medium Armor Master,中装鎧の達人
Moderately Armored,中装防具習熟
Polearm Master,長柄の使い手
Tough,追加hp
Charger,突撃者
Dual Wielder,二刀の使い手
Weapon Master,武器の使い手
Mage Slayer,魔道士退治
Magic Initiate,魔法のたしなみ
Actor,役者
Healer,癒し手
Transmutation,変身
Dungeon Master's Guide,『Dungeon Master's Guide』
Dungeons & Dragons,『Dungeons & Dragons』
Monster Manual,『Monster Manual』
Player's Handbook,『Player's Handbook』
Player's Handbook plus One,『Player's Handbook』プラスワン
Ahghairon's Dragonward,『アゲアロンの対ドラゴン防護』
"A History of Waterdeep: Age One, The Rise of the Warlord",『ウォーターディープの歴史　第一紀：武王の隆盛』
"A History of Waterdeep: Age Two, The Lords' Rule Begins",『ウォーターディープの歴史　第二紀：執政官による治世の始まり』
Encounters in Elturel,『エルタレルでの遭遇』
Night of the Kraken Cult,『クラーケン教団の夜』
The Rise and Fall of Hellgate Keep,『ヘルゲート砦興亡記』
Monstrous Mutations table,『怪物のごとき変異』表
Treasure Drops table,『獲得できる財宝』表
Your Beardy Face,『顎鬚恋唄』
Environmental Effects table,『環境の効果』表
Masters of the Forbideen City,『禁断の都の支配者たち』
Canticle of the Silver Chalice,『銀杯の讃歌』
Unusual Locations table,『尋常ならざる場所の数々』表
Dead Explorers table,『探険家の死体』表
the Caches table,『貯蔵物』表
Character Hooks for Select Backgrounds,『背景の選択とキャラクターの導入』表
Wulfgar and the Crystal Shard,『蛮人ウルフガーとクリスタル・シャード』
Tome of Universal Harmony,『万物調和の書』
the Wilderness Encounters table,『野外の遭遇』表
Strength,筋力
Sanity,正気度
Sanity Score,正気度
Constitution,耐久力
Intelligence,知力
Intelligence Check vs. Wisdom Check,知力判定と判断力判定
Wisdom,判断力
Dexterity,敏捷力
Charisma,魅力
Honor,名誉
Honor Score,名誉
goat of terror,恐怖の山羊
goat of travail,苦痛の山羊
goat of traveling,旅の山羊
1. Determine XP Thresholds,1.難易度ごとの経験点基準値を求める
single-class character,1つのクラスでレベルアップを続けたキャラクター
Beyond 1st Level,1レベルよりも先
Learning Spells of 1st Level and Higher,1レベル以上の呪文の修得
Spells Known of 1st Level and Higher,1レベル以上の修得呪文
Spells Known of 1st-Level and Higher,1レベル以上の修得呪文
Hit Points at 1st Level,1レベル時のヒット・ポイント
Buying Equipment at 1st Level,1レベル時の装備購入
One-Time Expenses,1回限りの出費
One and done,1度きりのあやまち
2. Determine the Party's XP Threshold,2.パーティの経験点基準値を求める
Dual Personalities,2つの顔
3. Total the Monsters' XP,3.モンスターの経験点を合計する
4. Modify Total XP for Multiple Monsters,4.モンスターが2体以上なら、合計経験点に修正を加える
5. Compare XP,5.二種類の経験点を比較する
Five Timber（Timber）,5本の材木
Six Abilities,6つの能力値
The Six Daelkyr,6体のデルキール
Seven Thundercloud（Thunder）,7つの雷雲
charm of nine lives,9つの命の恵み
Spirits of the Nine Trickster Gods,9柱のトリックスター神の霊
D&D,D&D
D&D Pantheons,D&Dのパンテオン
D&D Basic Rules Document,D&Dベーシック・ルール・ドキュメント
The D20,d20
The Core Rule,d20～ルールの基本～
Running the Adventure,DM向けの諸注意
Running the Adventures,DM向けの諸注意
DM Tip,DM用アドバイス
Note to the DM: Making the Realms Yours,DM用アドバイス：“君のレルム”を作ろう
Note to the DM: Playing an Angelic Guide,DM用アドバイス：守護天使のロールプレイ
J.B. Nevercott,J・B・ネヴァコット
Monsters as NPCs,NPCとしてのモンスター
NPC Mannerisms,NPCのくせ
NPC Class,NPCのクラス
NPC Statistics,NPCのデータ
NPC Stat Blocks,NPCのデータ・ブロック
Designing NPCs,NPCのデザイン
NPC Party Members,NPCのパーティ・メンバー
NPC Party Members,NPCのパーティメンバー
Being the NPC,NPCの演じかた
NPC Appearance,NPCの外見
NPC Bonds,NPCの関わり深いもの
NPC Talents,NPCの才能
creating nonplayer characters,NPCの作成
NPC Flaws and Secrets,NPCの弱味と秘密
NPC Alignment,NPCの属性
NPC Ideals,NPCの尊ぶもの
NPC Interaction Traits,NPCの態度
NPC Abilities,NPCの能力値
Protect an NPC or Object,NPCまたは目的物の護衛
NPC Notes,NPCメモ
Creating NPCs from Scratch,NPCを一から作成する
NPC Features,NPC用種族的特徴
Disguised Characters,PCが変装する場合
Imprisoned Characters,PCが捕まった場合
That Personal Touch,PCにあわせた調整
Involving the Characters,PCを物語に組みこむ
X/Day,日
Aisha,アーイシャ
Arveene,アーヴィーネ
Irvil Grayborn,アーヴィル・グレイボーン
Arvoreen,アーヴォリーン
Auvryndar,アーヴリンダー
House Auvryndar,アーヴリンダー家
Aaqa,アーカ
Arkaiun,アーカイアン人
Arkus,アーカス
Wind Dukes of Aaqa,アーカの“風の公爵”たち
Akabar Bel Akash,アーカバー・ベル・アカシュ
Urgala Meltimer,アーガラ・メルティマー
Erky,アーキー
Arcturia,アークトゥリア
arcturiadoom,アークトゥリアドゥーム（アークトゥリアの領地）
Arcturia's Arcane Esoterica,アークトゥリアの秘術奥義書
Argran,アーグラン
Arcane Archer,アーケイン・アーチャー（秘術の射手）
Arcane Archer Lore,アーケイン・アーチャーの学識
Arcane Eye,秘術の眼
Arcane Gate,秘術の門
Arcane Trickster,アーケイン・トリックスター
Arcane Trickster Spellcasting,アーケイン・トリックスターの呪文発動
Arcane Propulsion Arm,秘術式射出腕
Arcane Lock,秘術錠
Argenthrixus,アーゲンスリクサス
Uregaunt,アーゴーント
Arthagast Ulbrinter,アーサガスト・ウルブリンター
Athas,アーサス
Aasathra,アーサスラ
Aasathra Raghthroknaar,アーサスラ・ラグスロクナール
Arthius,アーシアス
Aasimar,アアシマール
Urshar,アーシャー
Aashta,アーシュタ（氏族）
Urth,アース
Urth,アース
Earth Elemental,アース・エレメンタル
Earth Elemental Myrmidon,アース・エレメンタル・ミュルミドン
Conjure Earth Elemental,アース・エレメンタル召喚
Earth Tremor,微震
Arthuun,アースーン
Earthquake,地震
Earthspur Mountains,アーススパー山脈
Urstul Floxin,アーストゥール・フロキシン
Earthheart Forge,大地の心臓の炉
Earthbind,大地の束縛
Aaspar,アースパル
Urzul,アーズル
Earthlord,アースロード
Ground Fault,アース不良
Artor Morlin,アーター・モーリン
Ataaz Yklwazi,アーターズ・イックルワージ
Ataaz Kahakla,アーターズ・カハクラ
Ataaz Muhahah,アーターズ・ムハハー
aartuk,アータク
Artus Cimber,アータス・シンバー
Archdevil,アーチデヴィル
Archdevil Charms,アーチデヴィルの恵み
Archfiend,アーチフィーンド
Archfey,アーチフェイ
Warlock of the Archfey,アーチフェイのウォーロック
Atcha,アーチャ
Archer,アーチャー
archlich,アーチリッチ
Arch Gate,アーチ門
Ardeep,アーディープ
Artifact,アーティファクト
Artifact Properties,アーティファクトの特性
Destroying Artifacts,アーティファクトの破壊
Sample Artifacts,アーティファクトの例
Artificer,アーティフィサー（魔法技師）
Artillerist,アーティラリスト（砲術士）
Art,アート
Art,アート（芸術）
Art Temple,アート・テンプル
Ardulace,アードゥレース
Irtos,アートス
Ardragon,アードラゴン
Urdlen,アードレン
Artorok,アートロック
Arha,アーハ
Arbalest,アーバレスト
Ahma,アーマ
Armor of Invulnerability,不死身の鎧
Armor of Vulnerability,脆弱性の鎧
Armor of gleaming,汚れ知らずの鎧
Armor of Resistance,抵抗の鎧
Aremag,アーマグ
Amath Sercent,アーマス・サーセント
Armara,アーマラ
Arms of Hadar,ハダルの腕
Black scrolls of Ahm,アームの黒き巻物
Armblade,腕刃
Aarakocra,アーラコクラ
Aarakocra,アーラコクラ語
Aurum,アーラム
Aurala,アーララ
